name,neu,fc,conv,idm,ids,eps,prop,relative_loss,eran_deepzono_answer,eran_deepzono_time,eran_deeppoly_answer,eran_deeppoly_time,eran_refinezono_answer,eran_refinezono_time,eran_refinepoly_answer,eran_refinepoly_time,neurify_answer,neurify_time,planet_answer,planet_time,bab_answer,bab_time,bab_sb_answer,bab_sb_time,reluplex_answer,reluplex_time
dave_enu2_cov3_low3.11102_0.390,0.1,0.25,0.2,0.2,0.6,0.6,0,0.0257,unknown,14400,unknown,14400,unknown,14400,unknown,14400,error,14400,timeout,14400,unknown,14400,timeout,14400,unsup,14400
dave_enu2_cov3_low3.11210_0.018,0.1,0.25,0.4,0.4,0.2,0.4,0,0.0605,unknown,14400,unknown,14400,memout,14400,unknown,14400,sat,25.67,timeout,14400,unknown,14400,timeout,14400,unsup,14400
dave_enu2_cov3_low3.11220_0.074,0.1,0.25,0.4,0.6,0.2,0.2,1,0.0201,unknown,14400,unknown,14400,memout,14400,unknown,14400,sat,121.59,timeout,14400,timeout,14400,timeout,14400,unsup,14400
dave_enu2_cov3_low3.12020_6.535,0.1,0.5,0.0,0.6,0.2,0.4,2,0.0071,timeout,14400,unknown,14400,timeout,14400,memout,14400,timeout,14400,timeout,14400,timeout,14400,timeout,14400,timeout,14400
dave_enu2_cov3_low3.12100_0.698,0.1,0.5,0.2,0.2,0.2,0.6,1,0.0053,unknown,14400,unknown,14400,memout,14400,memout,14400,error,14400,timeout,14400,timeout,14400,timeout,14400,unsup,14400
dave_enu2_cov3_low3.12112_0.380,0.1,0.5,0.2,0.4,0.6,0.2,2,0.0155,unsat,268.04,unsat,19.15,unknown,14400,unsat,83.44,unsat,122.44,timeout,14400,timeout,14400,timeout,14400,unsup,14400
dave_enu2_cov3_low3.12120_0.100,0.1,0.5,0.2,0.6,0.2,0.4,0,0.0953,unknown,14400,unknown,14400,unknown,14400,unknown,14400,sat,39.38,timeout,14400,unknown,14400,timeout,14400,unsup,14400
dave_enu2_cov3_low3.12201_0.211,0.1,0.5,0.4,0.2,0.4,0.4,1,0.0221,unknown,14400,unknown,14400,memout,14400,unknown,14400,sat,76.15,timeout,14400,timeout,14400,timeout,14400,unsup,14400
dave_enu2_cov3_low3.12212_0.286,0.1,0.5,0.4,0.4,0.6,0.6,1,0.0123,unknown,14400,unknown,14400,memout,14400,unknown,14400,error,14400,timeout,14400,timeout,14400,timeout,14400,unsup,14400
dave_enu2_cov3_low3.20101_0.781,0.15,0.0,0.2,0.2,0.4,0.4,0,0.1984,unknown,14400,unknown,14400,unknown,14400,unknown,14400,sat,77.53,timeout,14400,sat,6476.58,sat,6242.03,unsup,14400
